epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.444,0.95893,1.52501,0.0167,0.92716,0.84855,0.9893,0.81296,0.6645,0.42682,0.0169,0.000363475,0.000363475,0.000363475
2,114.621,0.7933,0.50508,0.01355,0.97656,0.96414,0.99223,0.86335,0.57918,0.23091,0.01407,0.000726544,0.000726544,0.000726544
3,119.753,0.77456,0.50416,0.01361,0.96364,0.96475,0.96713,0.7794,0.69609,0.32437,0.01835,0.00108228,0.00108228,0.00108228
4,124.871,0.81013,0.47989,0.01461,0.99355,0.98611,0.995,0.85905,0.57328,0.16671,0.0142,0.001078,0.001078,0.001078
5,129.867,0.78352,0.43139,0.01435,0.97129,0.99647,0.995,0.82422,0.76603,0.22503,0.0208,0.001067,0.001067,0.001067
6,134.866,0.74736,0.41053,0.01359,0.97948,0.92474,0.9848,0.85568,0.59019,0.23528,0.01471,0.00105601,0.00105601,0.00105601
7,139.878,0.73637,0.41497,0.01258,0.94477,0.97663,0.99187,0.8819,0.53739,0.24288,0.01251,0.00104501,0.00104501,0.00104501
8,145.061,0.74103,0.40645,0.01339,0.97639,1,0.995,0.88252,0.51562,0.17818,0.01268,0.00103401,0.00103401,0.00103401
9,150.145,0.70569,0.40029,0.01269,0.97965,0.99515,0.995,0.82628,0.71004,0.1983,0.01901,0.00102301,0.00102301,0.00102301
10,155.141,0.67617,0.38904,0.01171,0.93893,0.97831,0.992,0.88109,0.5124,0.29657,0.01254,0.00101201,0.00101201,0.00101201
11,160.156,0.70502,0.38161,0.01262,0.96326,0.99954,0.995,0.86812,0.57572,0.18484,0.01549,0.00100101,0.00100101,0.00100101
12,165.266,0.69128,0.4026,0.01182,0.99108,0.97958,0.995,0.88063,0.55267,0.17495,0.01313,0.000990012,0.000990012,0.000990012
13,170.262,0.65378,0.35866,0.01094,0.98242,0.95802,0.99325,0.87962,0.52087,0.22422,0.01371,0.000979013,0.000979013,0.000979013
14,175.293,0.68975,0.35648,0.01239,0.98447,0.97172,0.99407,0.87928,0.52154,0.16915,0.01305,0.000968014,0.000968014,0.000968014
15,180.314,0.66,0.34702,0.01172,0.98147,0.98998,0.995,0.89563,0.48363,0.16758,0.012,0.000957015,0.000957015,0.000957015
16,185.501,0.6555,0.34542,0.01117,0.98636,0.95556,0.98856,0.87914,0.50193,0.2078,0.01205,0.000946016,0.000946016,0.000946016
17,190.502,0.66944,0.37518,0.01197,0.98522,0.98121,0.995,0.88381,0.52069,0.1764,0.01361,0.000935018,0.000935018,0.000935018
18,195.522,0.69292,0.35081,0.01226,0.92285,0.98205,0.995,0.87765,0.55051,0.24287,0.01351,0.000924019,0.000924019,0.000924019
19,200.551,0.66063,0.35036,0.01211,0.98828,0.98036,0.995,0.87811,0.5156,0.18003,0.01235,0.00091302,0.00091302,0.00091302
20,205.681,0.6593,0.334,0.01186,0.97916,0.99608,0.995,0.85153,0.60614,0.17952,0.01408,0.000902021,0.000902021,0.000902021
21,210.69,0.63398,0.323,0.01117,0.97804,0.9933,0.995,0.89452,0.46018,0.14678,0.01091,0.000891022,0.000891022,0.000891022
22,215.736,0.5981,0.33615,0.01028,0.97482,0.94572,0.99253,0.88213,0.49089,0.20387,0.01216,0.000880023,0.000880023,0.000880023
23,220.728,0.62385,0.3511,0.01077,0.98383,0.99468,0.995,0.88874,0.50281,0.15757,0.0128,0.000869024,0.000869024,0.000869024
24,225.844,0.60019,0.33735,0.01035,0.98973,0.99905,0.995,0.89116,0.50984,0.16104,0.01295,0.000858025,0.000858025,0.000858025
25,230.857,0.62003,0.31137,0.01065,0.98634,0.98824,0.995,0.90507,0.45435,0.14809,0.00994,0.000847026,0.000847026,0.000847026
26,235.97,0.59041,0.30592,0.00964,0.97249,1,0.995,0.87503,0.52792,0.14999,0.01326,0.000836027,0.000836027,0.000836027
27,241.059,0.58477,0.3032,0.0103,0.97541,0.99903,0.995,0.87595,0.52703,0.15315,0.01281,0.000825029,0.000825029,0.000825029
28,246.084,0.5716,0.30471,0.00979,0.96001,0.99559,0.99313,0.87844,0.51419,0.17717,0.01213,0.00081403,0.00081403,0.00081403
29,251.105,0.58442,0.2974,0.01011,0.96729,0.98272,0.992,0.89333,0.44562,0.17248,0.0109,0.000803031,0.000803031,0.000803031
30,256.14,0.58842,0.30162,0.01013,0.98036,0.97361,0.995,0.88212,0.51535,0.16361,0.01247,0.000792032,0.000792032,0.000792032
31,261.243,0.61113,0.29695,0.01021,0.98485,0.97334,0.9928,0.89904,0.47045,0.17169,0.01123,0.000781033,0.000781033,0.000781033
32,266.263,0.57672,0.27572,0.00996,0.97141,0.98906,0.995,0.8984,0.45931,0.15854,0.01092,0.000770034,0.000770034,0.000770034
33,271.269,0.55621,0.28036,0.00939,0.97716,0.97968,0.995,0.90562,0.42427,0.15908,0.00983,0.000759035,0.000759035,0.000759035
34,276.375,0.55418,0.26171,0.00955,0.98207,0.99251,0.995,0.88447,0.4751,0.15993,0.01227,0.000748036,0.000748036,0.000748036
35,281.482,0.56501,0.27633,0.00951,0.98812,0.93236,0.99223,0.91163,0.45166,0.20767,0.01087,0.000737037,0.000737037,0.000737037
36,286.603,0.53963,0.27101,0.00912,0.96721,0.99762,0.995,0.89895,0.46336,0.1496,0.01079,0.000726038,0.000726038,0.000726038
37,291.629,0.56799,0.28506,0.00983,0.96203,0.9936,0.99407,0.89195,0.5239,0.19892,0.01252,0.00071504,0.00071504,0.00071504
38,296.658,0.54718,0.28515,0.00914,0.96926,1,0.9935,0.89559,0.47122,0.1653,0.01124,0.000704041,0.000704041,0.000704041
39,301.778,0.49621,0.25262,0.00833,0.98857,0.97316,0.995,0.91833,0.38406,0.16522,0.0087,0.000693042,0.000693042,0.000693042
40,306.879,0.51786,0.26348,0.00889,0.98799,0.99133,0.995,0.9125,0.40112,0.15385,0.00899,0.000682043,0.000682043,0.000682043
41,311.881,0.533,0.27693,0.00897,0.98778,0.99338,0.995,0.92107,0.38501,0.11734,0.00908,0.000671044,0.000671044,0.000671044
42,316.98,0.52514,0.25606,0.00911,0.99315,0.99514,0.995,0.9157,0.41395,0.14384,0.00958,0.000660045,0.000660045,0.000660045
43,322.099,0.50617,0.24732,0.00837,0.96789,1,0.995,0.89846,0.47635,0.1724,0.01063,0.000649046,0.000649046,0.000649046
44,327.141,0.52322,0.26206,0.00889,0.96656,0.98839,0.9935,0.90488,0.43366,0.19124,0.0098,0.000638047,0.000638047,0.000638047
45,332.144,0.5061,0.24499,0.00848,0.9885,0.95053,0.99223,0.88466,0.45476,0.17194,0.01093,0.000627048,0.000627048,0.000627048
46,337.184,0.50036,0.2516,0.0086,0.98343,0.99453,0.995,0.91721,0.39756,0.13009,0.00892,0.000616049,0.000616049,0.000616049
47,342.247,0.49657,0.23826,0.00842,0.96926,1,0.995,0.91289,0.42438,0.1447,0.00969,0.000605051,0.000605051,0.000605051
48,347.286,0.497,0.25416,0.00852,0.98673,0.99252,0.995,0.91911,0.41115,0.12402,0.00946,0.000594052,0.000594052,0.000594052
49,352.301,0.49363,0.23815,0.00825,0.98526,0.99651,0.995,0.90937,0.42063,0.13951,0.00939,0.000583053,0.000583053,0.000583053
