2026-05-21 06:52:36  INFO  ========================================================================
2026-05-21 06:52:36  INFO  dataset   : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-10---14--1
2026-05-21 06:52:36  INFO  data.yaml : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-10---14--1/data.yaml
2026-05-21 06:52:36  INFO  run dir   : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-10---14--1
2026-05-21 06:52:36  INFO  log file  : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-10---14--1/train-20260521-065236.log
2026-05-21 06:52:36  INFO  GPU       : NVIDIA GeForce RTX 4070 Ti SUPER
2026-05-21 06:52:36  INFO  epochs=100  patience=20  imgsz=640  batch=0.7  cache=disk  workers=6
2026-05-21 06:52:36  INFO  ========================================================================
2026-05-21 06:52:36  INFO  starting fresh from /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-5---9-1/weights/best.pt
2026-05-21 06:54:31  INFO  epoch   1/100  mAP50=0.9893  mAP50-95=0.8130  P=0.9272  R=0.8486
2026-05-21 06:54:36  INFO  epoch   2/100  mAP50=0.9922  mAP50-95=0.8633  P=0.9766  R=0.9641
2026-05-21 06:54:42  INFO  epoch   3/100  mAP50=0.9671  mAP50-95=0.7794  P=0.9636  R=0.9647
2026-05-21 06:54:47  INFO  epoch   4/100  mAP50=0.9950  mAP50-95=0.8590  P=0.9936  R=0.9861
2026-05-21 06:54:52  INFO  epoch   5/100  mAP50=0.9950  mAP50-95=0.8242  P=0.9713  R=0.9965
2026-05-21 06:54:57  INFO  epoch   6/100  mAP50=0.9848  mAP50-95=0.8557  P=0.9795  R=0.9247
2026-05-21 06:55:02  INFO  epoch   7/100  mAP50=0.9919  mAP50-95=0.8819  P=0.9448  R=0.9766
2026-05-21 06:55:07  INFO  epoch   8/100  mAP50=0.9950  mAP50-95=0.8825  P=0.9764  R=1.0000
2026-05-21 06:55:12  INFO  epoch   9/100  mAP50=0.9950  mAP50-95=0.8263  P=0.9797  R=0.9951
2026-05-21 06:55:17  INFO  epoch  10/100  mAP50=0.9920  mAP50-95=0.8811  P=0.9389  R=0.9783
2026-05-21 06:55:22  INFO  epoch  11/100  mAP50=0.9950  mAP50-95=0.8681  P=0.9633  R=0.9995
