epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,285.678,0.54081,0.31079,0.00947,0.95691,0.97838,0.995,0.9064,0.47452,0.19333,0.01197,0.0005842,0.0005842,0.0005842
44,289.912,0.54944,0.33434,0.01009,0.98344,1,0.995,0.90159,0.49449,0.14369,0.01193,0.0005743,0.0005743,0.0005743
45,294.11,0.54731,0.35026,0.00984,0.97337,0.9925,0.995,0.88437,0.52402,0.16153,0.01267,0.0005644,0.0005644,0.0005644
46,298.316,0.53269,0.31448,0.00961,0.99253,0.96453,0.995,0.89099,0.4875,0.15594,0.01176,0.0005545,0.0005545,0.0005545
47,302.627,0.51323,0.29087,0.00945,0.98518,1,0.995,0.91812,0.42619,0.13344,0.01027,0.0005446,0.0005446,0.0005446
48,306.93,0.52712,0.31852,0.00972,0.9858,0.97678,0.995,0.89811,0.45322,0.14271,0.0109,0.0005347,0.0005347,0.0005347
49,311.143,0.52536,0.31996,0.00964,0.97755,0.99263,0.995,0.88556,0.49161,0.16106,0.0124,0.0005248,0.0005248,0.0005248
50,315.322,0.52368,0.29142,0.00953,0.9768,0.95472,0.995,0.89575,0.49567,0.17652,0.01218,0.0005149,0.0005149,0.0005149
51,319.618,0.53343,0.31609,0.0097,0.988,1,0.995,0.88924,0.47616,0.13515,0.01163,0.000505,0.000505,0.000505
52,323.845,0.51898,0.27896,0.00953,0.98521,1,0.995,0.90155,0.46082,0.13266,0.01097,0.0004951,0.0004951,0.0004951
53,328.059,0.52017,0.3221,0.00949,0.9649,0.96843,0.995,0.89112,0.49269,0.18264,0.01188,0.0004852,0.0004852,0.0004852
54,332.254,0.50772,0.30614,0.00902,0.9828,0.98713,0.995,0.90283,0.47782,0.14574,0.01127,0.0004753,0.0004753,0.0004753
55,336.579,0.50619,0.30427,0.00887,0.98054,0.99558,0.995,0.89818,0.45292,0.14199,0.01099,0.0004654,0.0004654,0.0004654
56,340.821,0.50608,0.30291,0.00918,0.97504,1,0.995,0.91172,0.43262,0.13061,0.01055,0.0004555,0.0004555,0.0004555
