2026-05-21 06:27:07  INFO  ========================================================================
2026-05-21 06:27:07  INFO  dataset   : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-5---9-1
2026-05-21 06:27:07  INFO  data.yaml : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-5---9-1/data.yaml
2026-05-21 06:27:07  INFO  run dir   : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-5---9-1
2026-05-21 06:27:07  INFO  log file  : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-5---9-1/train-20260521-062707.log
2026-05-21 06:27:07  INFO  GPU       : NVIDIA GeForce RTX 4070 Ti SUPER
2026-05-21 06:27:07  INFO  epochs=100  patience=20  imgsz=640  batch=0.7  cache=disk  workers=6
2026-05-21 06:31:30  INFO  epoch  39/100  mAP50=0.9950  mAP50-95=0.8784  P=0.9755  R=0.9847
2026-05-21 06:31:35  INFO  epoch  40/100  mAP50=0.9940  mAP50-95=0.8701  P=0.9731  R=0.9939
2026-05-21 06:31:40  INFO  epoch  41/100  mAP50=0.9950  mAP50-95=0.8884  P=0.9817  R=0.9930
2026-05-21 06:31:46  INFO  epoch  42/100  mAP50=0.9950  mAP50-95=0.8813  P=0.9707  R=0.9963
2026-05-21 06:31:51  INFO  epoch  43/100  mAP50=0.9950  mAP50-95=0.8927  P=0.9655  R=0.9949
2026-05-21 06:31:56  INFO  epoch  44/100  mAP50=0.9950  mAP50-95=0.8810  P=0.9884  R=0.9821
2026-05-21 06:32:01  INFO  epoch  45/100  mAP50=0.9950  mAP50-95=0.8885  P=0.9717  R=0.9745
2026-05-21 06:32:07  INFO  epoch  46/100  mAP50=0.9950  mAP50-95=0.8797  P=0.9557  R=0.9867
2026-05-21 06:32:12  INFO  epoch  47/100  mAP50=0.9950  mAP50-95=0.8671  P=0.9664  R=0.9996
2026-05-21 06:32:17  INFO  epoch  48/100  mAP50=0.9940  mAP50-95=0.8810  P=0.9555  R=0.9931
2026-05-21 06:32:22  INFO  epoch  49/100  mAP50=0.9940  mAP50-95=0.8873  P=0.9844  R=0.9615
2026-05-21 06:32:27  INFO  epoch  50/100  mAP50=0.9950  mAP50-95=0.8515  P=0.9742  R=0.9868
2026-05-21 06:32:32  INFO  epoch  51/100  mAP50=0.9950  mAP50-95=0.8669  P=0.9720  R=0.9844
2026-05-21 06:32:38  INFO  epoch  52/100  mAP50=0.9950  mAP50-95=0.8563  P=0.9833  R=0.9766
2026-05-21 06:32:43  INFO  epoch  53/100  mAP50=0.9894  mAP50-95=0.8881  P=0.9621  R=0.9513
2026-05-21 06:32:48  INFO  epoch  54/100  mAP50=0.9950  mAP50-95=0.8797  P=0.9697  R=0.9953
2026-05-21 06:32:53  INFO  epoch  55/100  mAP50=0.9919  mAP50-95=0.8694  P=0.9597  R=0.9834
2026-05-21 06:32:58  INFO  epoch  56/100  mAP50=0.9940  mAP50-95=0.8848  P=0.9898  R=0.9842
2026-05-21 06:33:04  INFO  epoch  57/100  mAP50=0.9919  mAP50-95=0.8841  P=0.9609  R=0.9703
2026-05-21 06:33:09  INFO  epoch  58/100  mAP50=0.9950  mAP50-95=0.8926  P=0.9576  R=0.9957
2026-05-21 06:33:14  INFO  epoch  59/100  mAP50=0.9940  mAP50-95=0.8818  P=0.9941  R=0.9819
2026-05-21 06:33:19  INFO  epoch  60/100  mAP50=0.9950  mAP50-95=0.8987  P=0.9651  R=0.9782
2026-05-21 06:33:25  INFO  epoch  61/100  mAP50=0.9950  mAP50-95=0.8989  P=0.9893  R=0.9874
2026-05-21 06:33:30  INFO  epoch  62/100  mAP50=0.9950  mAP50-95=0.8870  P=0.9914  R=1.0000
