epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,278.76,0.59569,0.375,0.01123,0.9655,0.99488,0.995,0.89271,0.50296,0.15277,0.01279,0.000649046,0.000649046,0.000649046
44,283.998,0.55806,0.33794,0.01056,0.98836,0.98212,0.995,0.88105,0.55006,0.21767,0.014,0.000638047,0.000638047,0.000638047
45,289.14,0.55416,0.35121,0.01047,0.97172,0.9745,0.995,0.88852,0.52732,0.21655,0.01333,0.000627048,0.000627048,0.000627048
46,294.28,0.5698,0.33947,0.01089,0.95566,0.98668,0.995,0.87974,0.53022,0.21281,0.01345,0.000616049,0.000616049,0.000616049
47,299.536,0.56362,0.34152,0.01088,0.96643,0.99963,0.995,0.86712,0.56959,0.1727,0.01465,0.000605051,0.000605051,0.000605051
48,304.701,0.58317,0.35859,0.01118,0.95546,0.9931,0.994,0.88095,0.54473,0.23823,0.01401,0.000594052,0.000594052,0.000594052
49,309.862,0.5391,0.33924,0.01024,0.98438,0.96145,0.994,0.88727,0.48699,0.17515,0.01234,0.000583053,0.000583053,0.000583053
50,315.02,0.5383,0.30928,0.01019,0.97418,0.98676,0.995,0.85149,0.61845,0.18348,0.01552,0.000572054,0.000572054,0.000572054
51,320.284,0.54906,0.31959,0.01038,0.97203,0.98437,0.995,0.86687,0.57231,0.19474,0.01542,0.000561055,0.000561055,0.000561055
52,325.448,0.49661,0.29511,0.00918,0.98329,0.9766,0.995,0.85626,0.5735,0.20044,0.0143,0.000550056,0.000550056,0.000550056
53,330.599,0.52785,0.31186,0.00989,0.9621,0.95128,0.98943,0.8881,0.48463,0.21323,0.01232,0.000539057,0.000539057,0.000539057
54,335.899,0.51541,0.32242,0.0098,0.96972,0.99527,0.995,0.87972,0.52102,0.17206,0.01361,0.000528058,0.000528058,0.000528058
55,341.075,0.5079,0.29498,0.00948,0.95965,0.98341,0.9919,0.86937,0.52894,0.20855,0.01351,0.000517059,0.000517059,0.000517059
56,346.252,0.50988,0.31981,0.00954,0.98984,0.98424,0.994,0.88481,0.50059,0.17892,0.01297,0.00050606,0.00050606,0.00050606
57,351.419,0.51254,0.30544,0.0095,0.96089,0.97029,0.99186,0.88412,0.49005,0.19735,0.01178,0.000495062,0.000495062,0.000495062
58,356.691,0.50629,0.29423,0.00931,0.95759,0.99571,0.995,0.89261,0.4832,0.15234,0.01163,0.000484063,0.000484063,0.000484063
59,361.844,0.49447,0.29094,0.00925,0.99407,0.98186,0.994,0.88176,0.53305,0.18336,0.01282,0.000473064,0.000473064,0.000473064
60,367.018,0.48259,0.25373,0.00888,0.96512,0.97819,0.995,0.8987,0.49191,0.18808,0.01259,0.000462065,0.000462065,0.000462065
61,372.227,0.486,0.29598,0.00884,0.98934,0.9874,0.995,0.8989,0.48361,0.15948,0.01201,0.000451066,0.000451066,0.000451066
62,377.561,0.48354,0.27358,0.00877,0.99141,1,0.995,0.88695,0.49104,0.14094,0.01229,0.000440067,0.000440067,0.000440067
63,382.734,0.48675,0.26441,0.00894,0.98121,0.99625,0.995,0.8742,0.54956,0.16517,0.01433,0.000429068,0.000429068,0.000429068
64,387.897,0.48342,0.28154,0.00888,0.97999,0.99432,0.995,0.89856,0.48686,0.1531,0.01214,0.000418069,0.000418069,0.000418069
65,393.057,0.46205,0.26525,0.00838,0.9852,0.98179,0.995,0.89753,0.45195,0.16319,0.01102,0.00040707,0.00040707,0.00040707
66,398.306,0.44722,0.26665,0.0081,0.98828,0.98848,0.995,0.87842,0.51201,0.18807,0.01288,0.000396071,0.000396071,0.000396071
67,403.471,0.45463,0.2604,0.00839,0.96263,0.9974,0.995,0.89483,0.46955,0.18968,0.0114,0.000385073,0.000385073,0.000385073
68,408.63,0.46325,0.26431,0.00843,0.96607,0.99457,0.995,0.89381,0.47277,0.16801,0.01149,0.000374074,0.000374074,0.000374074
69,413.773,0.44609,0.25649,0.00817,0.9904,0.98599,0.995,0.90213,0.48464,0.15245,0.01243,0.000363075,0.000363075,0.000363075
70,419.091,0.44663,0.24604,0.00821,0.98573,0.99593,0.995,0.91057,0.46432,0.13781,0.01182,0.000352076,0.000352076,0.000352076
71,424.308,0.44157,0.24153,0.0081,0.96511,0.99037,0.995,0.89343,0.47512,0.1655,0.01115,0.000341077,0.000341077,0.000341077
72,429.482,0.42885,0.23801,0.00777,0.97592,0.98517,0.995,0.87291,0.48619,0.1661,0.01174,0.000330078,0.000330078,0.000330078
73,434.627,0.42124,0.22851,0.00755,0.97901,0.9963,0.995,0.90391,0.44958,0.16294,0.01056,0.000319079,0.000319079,0.000319079
74,439.921,0.43253,0.23054,0.00794,0.97663,0.98796,0.995,0.90012,0.47254,0.13789,0.01165,0.00030808,0.00030808,0.00030808
75,445.099,0.42829,0.22846,0.00786,0.99398,0.99472,0.995,0.90543,0.46018,0.15752,0.01089,0.000297081,0.000297081,0.000297081
76,450.262,0.41955,0.224,0.0074,0.98898,0.99118,0.995,0.887,0.44399,0.14934,0.01027,0.000286083,0.000286083,0.000286083
77,455.491,0.41736,0.22806,0.00761,0.98538,0.9889,0.995,0.90438,0.4283,0.13219,0.00979,0.000275084,0.000275084,0.000275084
78,460.653,0.40241,0.2201,0.0072,0.98419,0.9955,0.995,0.90477,0.43053,0.14449,0.00998,0.000264085,0.000264085,0.000264085
79,465.823,0.4058,0.22721,0.00724,0.9809,0.99077,0.995,0.89671,0.44956,0.14731,0.01093,0.000253086,0.000253086,0.000253086
