2026-05-21 07:24:41  INFO  ========================================================================
2026-05-21 07:24:41  INFO  dataset   : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-15---16--1
2026-05-21 07:24:41  INFO  data.yaml : /home/aandong/projectYOLO/bottle_test/dataset/Botol-Plastik-Kelas-15---16--1/data.yaml
2026-05-21 07:24:41  INFO  run dir   : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-15---16--1
2026-05-21 07:24:41  INFO  log file  : /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-15---16--1/train-20260521-072441.log
2026-05-21 07:24:41  INFO  GPU       : NVIDIA GeForce RTX 4070 Ti SUPER
2026-05-21 07:24:41  INFO  epochs=100  patience=20  imgsz=640  batch=0.7  cache=disk  workers=6
2026-05-21 07:24:41  INFO  ========================================================================
2026-05-21 07:24:41  INFO  starting fresh from /home/aandong/projectYOLO/bottle_test/runs/detect/yolo26s-Botol-Plastik-Kelas-10---14--1/weights/best.pt
2026-05-21 07:26:29  INFO  epoch   1/100  mAP50=0.6474  mAP50-95=0.5870  P=0.3488  R=1.0000
2026-05-21 07:26:32  INFO  epoch   2/100  mAP50=0.9862  mAP50-95=0.8918  P=0.9033  R=0.9122
2026-05-21 07:26:35  INFO  epoch   3/100  mAP50=0.9487  mAP50-95=0.8115  P=0.8521  R=1.0000
2026-05-21 07:26:37  INFO  epoch   4/100  mAP50=0.9387  mAP50-95=0.7571  P=0.8868  R=0.9286
2026-05-21 07:26:40  INFO  epoch   5/100  mAP50=0.9600  mAP50-95=0.7831  P=1.0000  R=0.8912
2026-05-21 07:26:43  INFO  epoch   6/100  mAP50=0.9862  mAP50-95=0.8762  P=0.9755  R=0.9186
2026-05-21 07:26:45  INFO  epoch   7/100  mAP50=0.9950  mAP50-95=0.8403  P=0.9731  R=1.0000
2026-05-21 07:26:48  INFO  epoch   8/100  mAP50=0.9862  mAP50-95=0.8540  P=0.7903  R=0.9286
2026-05-21 07:26:51  INFO  epoch   9/100  mAP50=0.8060  mAP50-95=0.6142  P=0.8116  R=0.8345
2026-05-21 07:26:54  INFO  epoch  10/100  mAP50=0.9950  mAP50-95=0.8435  P=0.9147  R=1.0000
2026-05-21 07:26:56  INFO  epoch  11/100  mAP50=0.9950  mAP50-95=0.8913  P=0.9239  R=0.9836
2026-05-21 07:26:59  INFO  epoch  12/100  mAP50=0.9740  mAP50-95=0.8788  P=0.9406  R=0.9011
2026-05-21 07:27:02  INFO  epoch  13/100  mAP50=0.9950  mAP50-95=0.8784  P=0.8952  R=0.9873
2026-05-21 07:27:04  INFO  epoch  14/100  mAP50=0.9688  mAP50-95=0.8756  P=0.8477  R=0.9932
