epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,225.004,0.53019,0.23743,0.00899,0.99661,1,0.995,0.88341,0.54998,0.14798,0.01613,0.000924352,0.000924352,0.000924352
47,227.669,0.57365,0.28192,0.01019,0.9804,1,0.995,0.91896,0.50283,0.13546,0.01549,0.000907848,0.000907848,0.000907848
48,230.338,0.55786,0.24846,0.00976,0.99654,1,0.995,0.90911,0.50172,0.13638,0.01516,0.000891345,0.000891345,0.000891345
49,233.005,0.51048,0.22709,0.00864,0.98763,1,0.995,0.90775,0.46972,0.15672,0.01449,0.000874842,0.000874842,0.000874842
50,235.763,0.50547,0.24719,0.00864,0.96869,0.99623,0.995,0.941,0.41971,0.15398,0.01276,0.000858338,0.000858338,0.000858338
51,238.423,0.50561,0.2447,0.00836,0.99327,1,0.995,0.92779,0.42899,0.11982,0.01341,0.000841835,0.000841835,0.000841835
52,241.078,0.52257,0.25064,0.00907,0.97983,1,0.995,0.92383,0.42575,0.14281,0.012,0.000825332,0.000825332,0.000825332
53,243.732,0.53069,0.25227,0.0093,0.99792,1,0.995,0.94013,0.41693,0.2114,0.013,0.000808828,0.000808828,0.000808828
54,246.496,0.51414,0.23465,0.00943,0.99012,1,0.995,0.89308,0.50001,0.18904,0.01504,0.000792325,0.000792325,0.000792325
55,249.151,0.48678,0.21454,0.0086,0.98317,1,0.995,0.91019,0.4664,0.19148,0.01388,0.000775822,0.000775822,0.000775822
56,251.813,0.50865,0.25116,0.00895,0.98651,1,0.995,0.91468,0.41437,0.12633,0.01233,0.000759318,0.000759318,0.000759318
57,254.5,0.47362,0.21222,0.0082,0.98463,1,0.995,0.93376,0.43151,0.12157,0.01354,0.000742815,0.000742815,0.000742815
58,257.164,0.48046,0.22344,0.00825,0.98998,1,0.995,0.90795,0.43569,0.12624,0.01286,0.000726312,0.000726312,0.000726312
59,259.923,0.47326,0.21349,0.00813,0.99645,1,0.995,0.9113,0.44732,0.12666,0.01327,0.000709809,0.000709809,0.000709809
60,262.608,0.47346,0.2107,0.00803,0.98669,0.94156,0.995,0.90392,0.50502,0.20346,0.01529,0.000693305,0.000693305,0.000693305
61,265.287,0.48457,0.22624,0.00846,0.99664,1,0.995,0.90275,0.5393,0.14262,0.01759,0.000676802,0.000676802,0.000676802
