epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.318,0.74922,7.12403,0.01284,0.34881,1,0.64738,0.587,0.51434,6.71002,0.01521,0.00045009,0.00045009,0.00045009
2,106.091,0.62107,2.14773,0.01086,0.90328,0.91216,0.98625,0.89182,0.61841,0.75853,0.01869,0.000907773,0.000907773,0.000907773
3,108.914,0.74714,0.8967,0.01355,0.8521,1,0.94873,0.81154,0.72095,0.49058,0.02181,0.00135621,0.00135621,0.00135621
4,111.582,0.79874,0.71067,0.01543,0.88678,0.92857,0.93873,0.75707,0.94786,0.67394,0.03111,0.00161749,0.00161749,0.00161749
5,114.354,0.78065,0.57276,0.01423,1,0.89123,0.96,0.78305,0.88342,0.55891,0.02754,0.00160099,0.00160099,0.00160099
6,117.037,0.78413,0.54546,0.01433,0.97547,0.91864,0.98625,0.87617,0.59214,0.30436,0.01785,0.00158448,0.00158448,0.00158448
7,119.707,0.77659,0.52456,0.01411,0.9731,1,0.995,0.84025,0.73289,0.29357,0.02268,0.00156798,0.00156798,0.00156798
8,122.395,0.75941,0.51145,0.014,0.79031,0.92857,0.98625,0.85398,0.69731,0.43339,0.02181,0.00155148,0.00155148,0.00155148
9,125.176,0.7953,0.49162,0.01488,0.81157,0.83454,0.806,0.61421,1.29549,0.57693,0.05274,0.00153497,0.00153497,0.00153497
10,127.828,0.81325,0.50114,0.01612,0.91474,1,0.995,0.8435,0.72498,0.36084,0.02136,0.00151847,0.00151847,0.00151847
11,130.494,0.77793,0.50377,0.01448,0.92393,0.98361,0.995,0.89132,0.61405,0.30248,0.02071,0.00150197,0.00150197,0.00150197
12,133.16,0.73288,0.42744,0.01382,0.94056,0.90112,0.974,0.87883,0.54161,0.32522,0.01689,0.00148546,0.00148546,0.00148546
13,135.948,0.73589,0.43179,0.01308,0.8952,0.98731,0.995,0.87836,0.67737,0.31827,0.02178,0.00146896,0.00146896,0.00146896
14,138.63,0.74079,0.40395,0.01389,0.84765,0.9932,0.96875,0.87558,0.59951,0.38873,0.01797,0.00145246,0.00145246,0.00145246
15,141.298,0.68916,0.38108,0.01258,0.90972,0.9884,0.995,0.88095,0.63569,0.28512,0.02057,0.00143595,0.00143595,0.00143595
16,143.962,0.70307,0.37473,0.01287,0.93781,0.99215,0.995,0.8825,0.498,0.1792,0.01477,0.00141945,0.00141945,0.00141945
17,146.729,0.72278,0.37777,0.01278,0.84769,0.91101,0.96583,0.80529,0.68334,0.55141,0.02229,0.00140295,0.00140295,0.00140295
18,149.402,0.69851,0.36267,0.01275,0.92368,1,0.98625,0.85712,0.66983,0.36041,0.02081,0.00138644,0.00138644,0.00138644
19,152.059,0.65508,0.319,0.01167,0.99042,0.99555,0.995,0.85411,0.67729,0.26923,0.02066,0.00136994,0.00136994,0.00136994
20,154.727,0.65672,0.30452,0.01198,0.97844,1,0.995,0.92948,0.48724,0.14954,0.01601,0.00135344,0.00135344,0.00135344
21,157.571,0.67483,0.35538,0.01243,0.90822,0.99196,0.995,0.87159,0.57476,0.2533,0.01762,0.00133693,0.00133693,0.00133693
22,160.245,0.68351,0.33198,0.01225,0.96288,0.92155,0.98625,0.84828,0.61862,0.26963,0.01796,0.00132043,0.00132043,0.00132043
23,162.909,0.6592,0.33167,0.01173,0.95379,0.92162,0.974,0.8753,0.49816,0.33421,0.01507,0.00130393,0.00130393,0.00130393
24,165.588,0.6357,0.31032,0.01114,0.98317,1,0.995,0.91238,0.48546,0.14721,0.01508,0.00128742,0.00128742,0.00128742
25,168.359,0.64465,0.34015,0.01171,0.95932,1,0.995,0.90604,0.5608,0.21189,0.01758,0.00127092,0.00127092,0.00127092
26,171.037,0.64349,0.34124,0.01201,0.97327,0.99127,0.995,0.90006,0.6014,0.19064,0.01853,0.00125442,0.00125442,0.00125442
27,173.72,0.66674,0.335,0.01218,0.98728,1,0.995,0.86648,0.64796,0.20972,0.02049,0.00123791,0.00123791,0.00123791
28,176.4,0.6332,0.31815,0.01088,0.96448,0.91719,0.98625,0.83548,0.63247,0.28109,0.01924,0.00122141,0.00122141,0.00122141
29,179.069,0.64723,0.31187,0.01136,0.81459,0.75232,0.89875,0.65799,1.2782,0.48825,0.05032,0.00120491,0.00120491,0.00120491
30,181.834,0.65218,0.35524,0.0116,0.94057,0.99201,0.995,0.89249,0.57127,0.22705,0.01666,0.0011884,0.0011884,0.0011884
31,184.501,0.61528,0.30147,0.01102,0.97037,1,0.995,0.90912,0.59437,0.16363,0.01864,0.0011719,0.0011719,0.0011719
32,187.171,0.63186,0.29815,0.01176,0.9792,1,0.995,0.88829,0.5964,0.16289,0.0181,0.0011554,0.0011554,0.0011554
33,189.839,0.55454,0.26328,0.01017,0.96434,0.99492,0.995,0.93029,0.53521,0.16548,0.01611,0.00113889,0.00113889,0.00113889
34,192.686,0.57164,0.28003,0.01075,0.95558,0.92857,0.98625,0.88117,0.58369,0.26642,0.01871,0.00112239,0.00112239,0.00112239
35,195.355,0.60579,0.29934,0.011,1,0.99315,0.995,0.89965,0.56529,0.24028,0.01589,0.00110589,0.00110589,0.00110589
36,198.018,0.59137,0.31377,0.01062,0.94984,0.99416,0.995,0.90312,0.44393,0.18311,0.01279,0.00108938,0.00108938,0.00108938
37,200.695,0.59228,0.30117,0.01023,0.9171,0.98921,0.995,0.90629,0.43478,0.22693,0.01321,0.00107288,0.00107288,0.00107288
38,203.43,0.57451,0.27265,0.00996,0.98976,1,0.995,0.9249,0.48909,0.13512,0.01527,0.00105638,0.00105638,0.00105638
39,206.086,0.5426,0.24859,0.00951,0.96758,0.9901,0.995,0.92292,0.45188,0.19718,0.01418,0.00103987,0.00103987,0.00103987
40,208.747,0.60957,0.28945,0.01125,0.90793,0.95798,0.995,0.91208,0.44404,0.28472,0.01384,0.00102337,0.00102337,0.00102337
41,211.421,0.57653,0.29249,0.01034,0.95999,0.98911,0.995,0.9448,0.40318,0.19227,0.0118,0.00100687,0.00100687,0.00100687
42,214.24,0.54264,0.23925,0.00969,0.98439,1,0.995,0.9103,0.47867,0.13597,0.01468,0.000990365,0.000990365,0.000990365
43,216.903,0.55293,0.2673,0.0098,1,1,0.995,0.92643,0.44223,0.12017,0.0131,0.000973861,0.000973861,0.000973861
44,219.563,0.55464,0.25422,0.00906,0.99554,1,0.995,0.91425,0.47621,0.13573,0.01409,0.000957358,0.000957358,0.000957358
45,222.225,0.56179,0.26004,0.00986,0.93879,0.99179,0.995,0.89179,0.55346,0.19172,0.01715,0.000940855,0.000940855,0.000940855
